b	42	9.79	u	g	x	h	7.96	t	t	8	f	g	0	0	+
b	49.5	7.585	u	g	i	bb	7.585	t	t	15	t	g	0	5000	+
a	36.75	5.125	u	g	e	v	5	t	f	0	t	g	0	4000	+
a	22.58	10.75	u	g	q	v	0.415	t	t	5	t	g	0	560	+
b	27.83	1.5	u	g	w	v	2	t	t	11	t	g	434	35	+
b	34.92	2.5	u	g	w	v	0	t	f	0	t	g	239	200	+
b	23.33	11.625	y	p	w	v	0.835	t	f	0	t	g	160	300	+
b	23.17	0	u	g	cc	v	0.085	t	f	0	f	g	0	0	+
b	44.33	0.5	u	g	i	h	5	t	f	0	t	g	320	0	+
b	35.17	4.5	u	g	x	h	5.75	f	f	0	t	s	711	0	+
b	43.25	3	u	g	q	h	6	t	t	11	f	g	80	0	+
b	56.75	12.25	u	g	m	v	1.25	t	t	4	t	g	200	0	+
b	31.67	16.165	u	g	d	v	3	t	t	9	f	g	250	730	+
a	23.42	0.79	y	p	q	v	1.5	t	t	2	t	g	80	400	+
a	20.42	0.835	u	g	q	v	1.585	t	t	1	f	g	0	0	+
b	26.67	4.25	u	g	cc	v	4.29	t	t	1	t	g	120	0	+
b	34.17	1.54	u	g	cc	v	1.54	t	t	1	t	g	520	50000	+
a	36	1	u	g	c	v	2	t	t	11	f	g	0	456	+
b	25.5	0.375	u	g	m	v	0.25	t	t	3	f	g	260	15108	+
b	54.83	15.5	u	g	e	z	0	t	t	20	f	g	152	130	-
b	28.75	1.165	u	g	k	v	0.5	t	f	0	f	s	280	0	-
a	25	11	y	p	aa	v	4.5	t	f	0	f	g	120	0	-
b	40.92	2.25	y	p	x	h	10	t	f	0	t	g	176	0	-
a	19.75	0.75	u	g	c	v	0.795	t	t	5	t	g	140	5	-
a	24.5	1.04	y	p	ff	ff	0.5	t	t	3	f	g	180	147	-
b	24.58	12.5	u	g	w	v	0.875	t	f	0	t	g	260	0	-
a	33.75	0.75	u	g	k	bb	1	t	t	3	t	g	212	0	-
b	20.67	1.25	y	p	c	h	1.375	t	t	3	t	g	140	210	-
a	25.42	1.125	u	g	q	v	1.29	t	t	2	f	g	200	0	-
b	37.75	7	u	g	q	h	11.5	t	t	7	t	g	300	5	-
b	52.5	6.5	u	g	k	v	6.29	t	t	15	f	g	0	11202	+
b	57.83	7.04	u	g	m	v	14	t	t	6	t	g	360	1332	+
a	20.75	10.335	u	g	cc	h	0.335	t	t	1	t	g	80	50	+
b	39.92	6.21	u	g	q	v	0.04	t	t	1	f	g	200	300	+
b	25.67	12.5	u	g	cc	v	1.21	t	t	67	t	g	140	258	+
b	34.42	4.25	u	g	i	bb	3.25	t	t	2	f	g	274	610	+
a	28.42	3.5	u	g	w	v	0.835	t	f	0	f	s	280	0	+
b	67.75	5.5	u	g	e	z	13	t	t	1	t	g	0	0	+
b	20.42	1.835	u	g	c	v	2.25	t	t	1	f	g	100	150	+
a	47.42	8	u	g	e	bb	6.5	t	t	6	f	g	375	51100	+
b	36.25	5	u	g	c	bb	2.5	t	t	6	f	g	0	367	+
b	32.67	5.5	u	g	q	h	5.5	t	t	12	t	g	408	1000	+
b	48.58	6.5	u	g	q	h	6	t	f	0	t	g	350	0	+
b	39.92	0.54	y	p	aa	v	0.5	t	t	3	f	g	200	1000	+
b	33.58	2.75	u	g	m	v	4.25	t	t	6	f	g	204	0	+
a	18.83	9.5	u	g	w	v	1.625	t	t	6	t	g	40	600	+
a	26.92	13.5	u	g	q	h	5	t	t	2	f	g	0	5000	+
a	31.25	3.75	u	g	cc	h	0.625	t	t	9	t	g	181	0	+
a	56.5	16	u	g	j	ff	0	t	t	15	f	g	0	247	+
b	43	0.29	y	p	cc	h	1.75	t	t	8	f	g	100	375	+
b	22.33	11	u	g	w	v	2	t	t	1	f	g	80	278	+
a	40.33	7.54	y	p	q	h	8	t	t	14	f	g	0	2300	+
a	30.5	6.5	u	g	c	bb	4	t	t	7	t	g	0	3065	+
a	24.08	0.5	u	g	q	h	1.25	t	t	1	f	g	0	678	+
a	41.33	1	u	g	i	bb	2.25	t	f	0	t	g	0	300	+
b	24.83	2.75	u	g	c	v	2.25	t	t	6	f	g	?	600	+
a	20.75	10.25	u	g	q	v	0.71	t	t	2	t	g	49	0	+
a	22.5	8.46	y	p	x	v	2.46	f	f	0	f	g	164	0	+
b	19.67	0.375	u	g	q	v	2	t	t	2	t	g	80	0	+
b	22.08	11	u	g	cc	v	0.665	t	f	0	f	g	100	0	+
b	25.17	3.5	u	g	cc	v	0.625	t	t	7	f	g	0	7059	+
a	47.42	3	u	g	x	v	13.875	t	t	2	t	g	519	1704	+
b	33.5	1.75	u	g	x	h	4.5	t	t	4	t	g	253	857	+
b	27.67	13.75	u	g	w	v	5.75	t	f	0	t	g	487	500	+
a	58.42	21	u	g	i	bb	10	t	t	13	f	g	0	6700	+
a	48.17	1.335	u	g	i	o	0.335	f	f	0	f	g	0	120	-
a	20.42	10.5	y	p	x	h	0	f	f	0	t	g	154	32	-
b	50.75	0.585	u	g	ff	ff	0	f	f	0	f	g	145	0	-
b	18.33	1.21	y	p	e	dd	0	f	f	0	f	g	100	0	-
a	32	6	u	g	d	v	1.25	f	f	0	f	g	272	0	-
b	59.67	1.54	u	g	q	v	0.125	t	f	0	t	g	260	0	+
b	18	0.165	u	g	q	n	0.21	f	f	0	f	g	200	40	+
b	37.58	0	?	?	?	?	0	f	f	0	f	p	?	0	+
b	32.33	2.5	u	g	c	v	1.25	f	f	0	t	g	280	0	-
b	18.08	6.75	y	p	m	v	0.04	f	f	0	f	g	140	0	-
b	38.25	10.125	y	p	k	v	0.125	f	f	0	f	g	160	0	-
b	30.67	2.5	u	g	cc	h	2.25	f	f	0	t	s	340	0	-
b	18.58	5.71	u	g	d	v	0.54	f	f	0	f	g	120	0	-
a	19.17	5.415	u	g	i	h	0.29	f	f	0	f	g	80	484	-
a	18.17	10	y	p	q	h	0.165	f	f	0	f	g	340	0	-
b	24.58	13.5	y	p	ff	ff	0	f	f	0	f	g	?	0	-
b	16.25	0.835	u	g	m	v	0.085	t	f	0	f	s	200	0	-
b	21.17	0.875	y	p	c	h	0.25	f	f	0	f	g	280	204	-
b	23.92	0.585	y	p	cc	h	0.125	f	f	0	f	g	240	1	-
b	17.67	4.46	u	g	c	v	0.25	f	f	0	f	s	80	0	-
b	23.25	12.625	u	g	c	v	0.125	f	t	2	f	g	0	5552	-
b	17.58	10	u	g	w	h	0.165	f	t	1	f	g	120	1	-
a	?	1.5	u	g	ff	ff	0	f	t	2	t	g	200	105	-
b	29.5	0.58	u	g	w	v	0.29	f	t	1	f	g	340	2803	-
b	18.83	0.415	y	p	c	v	0.165	f	t	1	f	g	200	1	-
b	62.75	7	u	g	e	z	0	f	f	0	f	g	0	12	-
a	26.17	2	u	g	j	j	0	f	f	0	t	g	276	1	-
b	22.17	0.585	y	p	ff	ff	0	f	f	0	f	g	100	0	-
?	28.17	0.585	u	g	aa	v	0.04	f	f	0	f	g	260	1004	-
a	20.83	0.5	y	p	e	dd	1	f	f	0	f	g	260	0	-
b	28.67	14.5	u	g	d	v	0.125	f	f	0	f	g	0	286	-
b	20.67	0.835	y	p	c	v	2	f	f	0	t	s	240	0	-
b	34.42	1.335	u	g	i	bb	0.125	f	f	0	t	g	440	4500	-
b	33.58	0.25	u	g	i	bb	4	f	f	0	t	s	420	0	-
b	43.17	5	u	g	i	bb	2.25	f	f	0	t	g	141	0	-
a	22.67	7	u	g	c	v	0.165	f	f	0	f	g	160	0	-
a	24.33	2.5	y	p	i	bb	4.5	f	f	0	f	g	200	456	-
